曈,徒紅,dowŋ,,童,日,,曈曨日欲明也又他孔切,,定,通,東,一,開,平,童,,
洞,徒紅,dowŋ,,同,水,,洪洞縣名在晉州北又徒弄切,,定,通,東,一,開,平,同,,
侗,徒紅,dowŋ,,同,人,,楊子法言云倥侗顓蒙,,定,通,東,一,開,平,同,,
橦,徒紅,dowŋ,,童,木,,木名花可爲布出字書又鍾幢二音,,定,通,東,一,開,平,童,,
烔,徒紅,dowŋ,,同,火,,熱氣烔烔出字林,,定,通,東,一,開,平,同,,
䴀,徒紅,dowŋ,,童,鳥,,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記,,定,通,東,一,開,平,童,,
挏,徒紅,dowŋ,,同,手,,引也漢官名有挏馬又音動,,定,通,東,一,開,平,同,,
酮,徒紅,dowŋ,,同,酉,,馬酪又音動,,定,通,東,一,開,平,同,,
鮦,徒紅,dowŋ,,同,魚,,爾雅云鰹大鮦又直冢直柳二切,,定,通,東,一,開,平,同,,
㼿,徒紅,dowŋ,,童,瓦,,井甓一云甃也,,定,通,東,一,開,平,童,,
𦏆,徒紅,dowŋ,,童,羊,,無角羊,,定,通,東,一,開,平,童,,
𦍻,徒紅,dowŋ,,同,羊,,上同,無角羊,定,通,東,一,開,平,同,,
眮,徒紅,dowŋ,,同,目,,目眶又徒摠切,,定,通,東,一,開,平,同,,
蕫,徒紅,dowŋ,,童,艸,,草名又多動切,,定,通,東,一,開,平,童,,
穜,徒紅,dowŋ,,童,禾,,穜稑先種後熟謂之穜後種先熟謂之稑又音重,,定,通,東,一,開,平,童,,
衕,徒紅,dowŋ,,同,行,,通街也,,定,通,東,一,開,平,同,,
𩍅,徒紅,dowŋ,,童,革,,靫具飾也,,定,通,東,一,開,平,童,,
𢈉,徒紅,dowŋ,,同,广,,地下應聲,,定,通,東,一,開,平,同,,
䆚,徒紅,dowŋ,,同,穴,,通䆚也,,定,通,東,一,開,平,同,,
哃,徒紅,dowŋ,,同,口,,哃𠹔大言,,定,通,東,一,開,平,同,,
𢏕,徒紅,dowŋ,,同,弓,,弓飾,,定,通,東,一,開,平,同,,
絧,徒紅,dowŋ,,同,糸,,布名,,定,通,東,一,開,平,同,,
𨚯,徒紅,dowŋ,,同,邑,,鄉名,,定,通,東,一,開,平,同,,
𨝯,徒紅,dowŋ,,童,邑,,地名又姓,,定,通,東,一,開,平,童,,
𪔜,徒紅,dowŋ,,甬,鼓,,鼓聲,,定,通,東,一,開,平,用,,
𩦶,徒紅,dowŋ,,騰,虎,,黑虎,,定,通,東,一,開,平,灷,,騰省聲
𪒿,徒紅,dowŋ,,騰,黑,,黑皃,,定,通,東,一,開,平,灷,,騰省聲
中,陟弓,ʈjowŋ,整體,,中,陟弓,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,,知,通,東,三,開,平,中,,
衷,陟弓,ʈjowŋ,,中,衣,,善也正也適也中也又衷衣褻衣也,,知,通,東,三,開,平,中,,與衶不同
忠,陟弓,ʈjowŋ,,中,心,,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,,知,通,東,三,開,平,中,,與忡不同
𦬕,陟弓,ʈjowŋ,,中,艸,,草名又音沖,,知,通,東,三,開,平,中,,
蟲,直弓,ɖjowŋ,會意,,虫虫虫,直弓,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七,,澄,通,東,三,開,平,蟲,,未知虫是否也有讀蟲之音，暫將此聲旁繫列裏字形衹有一虫者視爲蟲省聲
沖,直弓,ɖjowŋ,,中,水,,和也深也,,澄,通,東,三,開,平,中,,
种,直弓,ɖjowŋ,,中,禾,,稚也或作沖亦姓後漢司徒河南种暠,,澄,通,東,三,開,平,中,,
盅,直弓,ɖjowŋ,,中,皿,,器虛也又敕中切,,澄,通,東,三,開,平,中,,
爞,直弓,ɖjowŋ,,蟲,火,,爾雅云爞爞炎炎熏也,,澄,通,東,三,開,平,蟲,,
𦬕,直弓,ɖjowŋ,,中,艸,,草名又音中,,澄,通,東,三,開,平,中,,
翀,直弓,ɖjowŋ,,中,羽,,直上飛也,,澄,通,東,三,開,平,中,,
終,職戎,tɕjowŋ,,冬,糸,職戎,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,,章,通,東,三,開,平,夂,,
眾,職戎,tɕjowŋ,會意,,目㐺,,又之仲切,,章,通,東,三,開,平,眾,,古文字裏有从目、从日兩形，存疑；㐺爲眾聚臮𨴖的部件
潀,職戎,tɕjowŋ,,眾,水,,小水入大水又徂紅在冬二切,,章,通,東,三,開,平,眾,,
𣧩,職戎,tɕjowŋ,,冬,歺,,歿也,,章,通,東,三,開,平,夂,,
螽,職戎,tɕjowŋ,,冬,䖵,,螽斯蟲也,,章,通,東,三,開,平,夂,,
𧑄,職戎,tɕjowŋ,,眾,虫,,上同,螽斯蟲也,章,通,東,三,開,平,眾,,
鼨,職戎,tɕjowŋ,,冬,鼠,,豹文鼠也,,章,通,東,三,開,平,夂,,
蔠,職戎,tɕjowŋ,,終,艸,,蔠葵蘩露也,,章,通,東,三,開,平,夂,,
柊,職戎,tɕjowŋ,,冬,木,,木名又齊人謂椎爲柊楑也,,章,通,東,三,開,平,夂,,
𩅧,職戎,tɕjowŋ,,眾,雨,,小雨,,章,通,東,三,開,平,眾,,
䶱,職戎,tɕjowŋ,,冬,龜,,字書云龜名也,,章,通,東,三,開,平,夂,,
鴤,職戎,tɕjowŋ,,冬,鳥,,鳥名,,章,通,東,三,開,平,夂,,
䈺,職戎,tɕjowŋ,,終,竹,,篋䈺戎人呼之,,章,通,東,三,開,平,夂,,
泈,職戎,tɕjowŋ,,冬,水,,水名在襄陽,,章,通,東,三,開,平,夂,,
䝦,職戎,tɕjowŋ,,眾,豸,,獸如豹,,章,通,東,三,開,平,眾,,
忡,敕中,ʈhjowŋ,,中,心,敕中,憂也敕中切三,,徹,通,東,三,開,平,中,,與忠不同
浺,敕中,ʈhjowŋ,,忡,水,,浺瀜水平遠之皃又音蟲,,徹,通,東,三,開,平,中,,
盅,敕中,ʈhjowŋ,,中,皿,,器虛也又音蟲,,徹,通,東,三,開,平,中,,
崇,鋤弓,dʐjowŋ,,宗,山,鋤弓,高也敬也就也聚也又姓鋤弓切四,,崇,通,東,三,開,平,宗,,
崈,鋤弓,dʐjowŋ,,宗,山,,上同,高也敬也就也聚也又姓鋤弓切四,崇,通,東,三,開,平,宗,,
㓽,鋤弓,dʐjowŋ,,崇,刀,,鍤屬,,崇,通,東,三,開,平,宗,,
𩞉,鋤弓,dʐjowŋ,,崇,食,,饞𩞉貪食也出古今字音,,崇,通,東,三,開,平,宗,,
嵩,息弓,sjowŋ,會意,,山高,息弓,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,,心,通,東,三,開,平,嵩,,
崧,息弓,sjowŋ,,松,山,,上同,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,心,通,東,三,開,平,公,,
𪀚,息弓,sjowŋ,,戎,鳥,,似鷹而小能捕雀也,,心,通,東,三,開,平,戎,,
娀,息弓,sjowŋ,,戎,女,,有娀氏女簡狄帝嚳次妃吞乙卵生契,,心,通,東,三,開,平,戎,,
菘,息弓,sjowŋ,,松,艸,,菜名,,心,通,東,三,開,平,公,,
硹,息弓,sjowŋ,,松,石,,地名在遼,,心,通,東,三,開,平,公,,
㣝,息弓,sjowŋ,,戎,彳,,姓也,,心,通,東,三,開,平,戎,,
𧊕,息弓,sjowŋ,,戎,虫,,蟲名,,心,通,東,三,開,平,戎,,
䯷,息弓,sjowŋ,,戎,髟,,細毛,,心,通,東,三,開,平,戎,,
戎,如融,ȵjowŋ,會意,,毌戈,如融,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,,日,通,東,三,開,平,戎,,
𢦦,如融,ȵjowŋ,會意,,毌戈,,上同,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,日,通,東,三,開,平,戎,,
茙,如融,ȵjowŋ,,戎,艸,,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,,日,通,東,三,開,平,戎,,
㭜,如融,ȵjowŋ,,戎,木,,木名,,日,通,東,三,開,平,戎,,
駥,如融,ȵjowŋ,,戎,馬,,馬八尺也,,日,通,東,三,開,平,戎,,
𥬪,如融,ȵjowŋ,,戎,竹,,小竹可爲矢,,日,通,東,三,開,平,戎,,
𠈋,如融,ȵjowŋ,,戎,人,,𠈋人身有三角也,,日,通,東,三,開,平,戎,,
狨,如融,ȵjowŋ,,戎,犬,,細布,,日,通,東,三,開,平,戎,,
絨,如融,ȵjowŋ,,戎,糸,,上同,細布,日,通,東,三,開,平,戎,,
弓,居戎,kjowŋ,整體,,弓,居戎,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,,見,通,東,三,開,平,弓,,弘聲旁爲複聲（弓厷都爲聲旁，兩者音韻地位在一起）；躬窮聲旁爲替換躳竆的聲旁爲弓之後得到的字形，音韻地位應與躳竆同）；擬爲kw-類
躳,居戎,kjowŋ,會意,,身囗囗,,身也親也又姓出姓苑,,見,通,東,三,開,平,宮,,相當於宮省聲；宮躳邕都有部件⿱囗囗，宮躳在同一聲旁，但與邕的音韻地位不在一起（有可能是宮躳从⿱囗囗、邕从⿻囗囗的不同，存疑）
躬,居戎,kjowŋ,會意,,身弓,,上同,身也親也又姓出姓苑,見,通,東,三,開,平,宮,,爲躳替換⿱囗囗爲弓之後的字形，應視爲與躳的音韻地位相同
㴦,居戎,kjowŋ,,宮,水,,縣名在酒泉,,見,通,東,三,開,平,宮,,
宮,居戎,kjowŋ,會意,,宀囗囗,,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇,,見,通,東,三,開,平,宮,,下方爲⿱囗囗；宮躳邕都有部件⿱囗囗，宮躳在同一聲旁，但與邕的音韻地位不在一起（有可能是宮躳从⿱囗囗、邕从⿻囗囗的不同，存疑）
匑,居戎,kjowŋ,,躬,勹,,謹敬之皃又音穹,,見,通,東,三,開,平,宮,,
融,以戎,jowŋ,,蟲,鬲,以戎,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四,,以,通,東,三,開,平,蟲,,蟲省聲
肜,以戎,jowŋ,會意,,舟彡,,祭名又敕林切,,以,通,東,三,開,平,䑣,,暫視爲从舟，存疑
瀜,以戎,jowŋ,,融,水,,沖瀜大水皃,,以,通,東,三,開,平,蟲,,
雄,羽弓,ɦjowŋ,,厷,隹,羽弓,雄雌也亦姓舜友有雄陶羽弓切二,,云,通,東,三,開,平,厷,,
熊,羽弓,ɦjowŋ,會意,,能火,,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比,,云,通,東,三,開,平,熊,,能爲熊的象形
瞢,莫中,mwjowŋ,,𦰋,目,莫中,目不明莫中切六,,明,通,東,三,合,平,𦰋,,
夢,莫中,mwjowŋ,,𦰋,夕,,說文曰不明也又武仲切,,明,通,東,三,合,平,𦰋,,
鄸,莫中,mwjowŋ,,夢,邑,,邑名在曹郡,,明,通,東,三,合,平,𦰋,,
懜,莫中,mwjowŋ,,夢,心,,慙也國語云君使臣懜,,明,通,東,三,合,平,𦰋,,
𦫰,莫中,mwjowŋ,,夢,色,,𦫰𦫰醜皃,,明,通,東,三,合,平,𦰋,,
𧲎,莫中,mwjowŋ,,夢,豕,,獸似豕目在耳出崐崘,,明,通,東,三,合,平,𦰋,,
穹,去宮,khjowŋ,,弓,穴,去宮,高也去宮切七,,溪,通,東,三,開,平,弓,,
𢞏,去宮,khjowŋ,,宮,心,,憂也,,溪,通,東,三,開,平,宮,,
焪,去宮,khjowŋ,,穹,火,,乾也,,溪,通,東,三,開,平,弓,,
芎,去宮,khjowŋ,,弓,艸,,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,,溪,通,東,三,開,平,弓,,存疑，似應與藭音韻地位相同
𦵡,去宮,khjowŋ,,宮,艸,,上同,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,溪,通,東,三,開,平,宮,,
匑,去宮,khjowŋ,,躬,勹,,謹敬之皃,,溪,通,東,三,開,平,宮,,
𥳎,去宮,khjowŋ,,蛩,竹,,𥳎籠也又去龍切,,溪,通,東,三,開,平,工,,
窮,渠弓,gjowŋ,,躬,穴,渠弓,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,,群,通,東,三,開,平,宮,,爲竆替換⿱囗囗爲弓之後的字形，應視爲與竆的音韻地位相同；窮（从穴躬聲）、䠻（从身穹聲）可相參照
藭,渠弓,gjowŋ,,窮,艸,,芎藭,,群,通,東,三,開,平,宮,,
𥨪,渠弓,gjowŋ,,竆,邑,,羿所封國,,群,通,東,三,開,平,宮,,竆省聲
馮,房戎,bwjowŋ,,仌,馬,房戎,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,,並,通,東,三,合,平,仌,,仌聲，非从冫
堸,房戎,bwjowŋ,,風,土,,蟲室,,並,通,東,三,合,平,凡,,
汎,房戎,bwjowŋ,,凡,水,,浮也又孚劒切,,並,通,東,三,合,平,凡,,
芃,房戎,bwjowŋ,,凡,艸,,草盛也又音蓬,,並,通,東,三,合,平,凡,,
𨝭,房戎,bwjowŋ,,馮,邑,,姬姓之國,,並,通,東,三,合,平,仌,,
渢,房戎,bwjowŋ,,風,水,,弘大聲也,,並,通,東,三,合,平,凡,,
梵,房戎,bwjowŋ,,凡,林,,木得風皃又防泛切,,並,通,東,三,合,平,凡,,
風,方戎,pwjowŋ,,凡,虫,方戎,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,,幫,通,東,三,合,平,凡,,
飌,方戎,pwjowŋ,,風,雚,,古文,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,幫,通,東,三,合,平,凡,,
楓,方戎,pwjowŋ,,風,木,,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,,幫,通,東,三,合,平,凡,,
猦,方戎,pwjowŋ,,風,犬,,猦母狀如猿逢人則叩頭小打便死得風還活出異物志,,幫,通,東,三,合,平,凡,,
偑,方戎,pwjowŋ,,風,人,,地名,,幫,通,東,三,合,平,凡,,
檒,方戎,pwjowŋ,,風,林,,檒梵聲也,,幫,通,東,三,合,平,凡,,
𧆉,方戎,pwjowŋ,,凡,雚糸,,竹名出南海,,幫,通,東,三,合,平,凡,,風有飌的或體
豐,敷空,phwjowŋ,曡聲,丰丰,壴,敷空,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八,,滂,通,東,三,合,平,丰,,丰爲聲旁；从壴非从豆；與豊（⿱⿰玉玉壴）不同，玉所从的是短橫
酆,敷空,phwjowŋ,,豐,邑,,邑名亦姓左傳有狄相酆舒,,滂,通,東,三,合,平,丰,,
蘴,敷空,phwjowŋ,,豐,艸,,蕪菁苗也,,滂,通,東,三,合,平,丰,,
灃,敷空,phwjowŋ,,豐,水,,水名在咸陽,,滂,通,東,三,合,平,丰,,
寷,敷空,phwjowŋ,,豐,宀,,大屋,,滂,通,東,三,合,平,丰,,
麷,敷空,phwjowŋ,,豐,麥,,煑麥,,滂,通,東,三,合,平,丰,,
㒥,敷空,phwjowŋ,,豐,人,,偓㒥仙人,,滂,通,東,三,合,平,丰,,
㠦,敷空,phwjowŋ,,豐,山,,山名,,滂,通,東,三,合,平,丰,,
